ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;method;best cf index;order;dataset
71;;;;;;False;;;;;;;;;;1965.04061794281;DiscoX;0;4;Epilepsy
72;;;;;;False;;;;;;;;;;822.7026233673096;DiscoX;0;4;Epilepsy
75;220.0;0.3559870550161812;182.74500000000006;19.816526511979852;0.35132473707199097;True;;0.9577939716889656;0.61457392512485;0.36585442974234644;0.01769383463217422;0.0;0.0;72.0;0.23300970873786409;1149.261837720871;DiscoX;0;4;Epilepsy
76;126.0;0.20388349514563106;100.01880000000003;11.300416693202074;0.4816235601902008;True;;0.6729093545375076;0.42000055817368165;0.1654288133356744;0.03993297184691036;0.0;0.0;26.0;0.08414239482200647;165.0705738067627;DiscoX;0;4;Epilepsy
77;;;;;;False;;;;;;;;;;2211.668529510498;DiscoX;0;4;Epilepsy
78;240.0;0.3883495145631068;170.12700000000007;16.011430011088958;0.37319743633270264;True;;0.8142967946026107;0.34416824040467336;0.1552309610326642;0.0;0.0;0.0;64.0;0.20711974110032363;439.78352332115173;DiscoX;0;4;Epilepsy
79;;;;;;False;;;;;;;;;;1597.9038693904877;DiscoX;0;4;Epilepsy
80;;;;;;False;;;;;;;;;;323.01744556427;DiscoX;0;4;Epilepsy
83;129.0;0.2087378640776699;136.28580000000005;15.325149877244273;0.4884784519672394;True;;0.8022467230375294;0.3562778245676348;0.24193267555072764;0.04720381183612088;0.0;0.0;23.0;0.0744336569579288;829.2748219966888;DiscoX;0;4;Epilepsy
84;149.0;0.24110032362459546;188.23840000000007;18.845392355692685;0.33555367588996887;True;;0.9762613382050513;0.5010765207387463;0.34019907424726403;0.2480542116691794;0.02064679418161608;0.0;4.0;0.012944983818770227;294.31751322746277;DiscoX;0;4;Epilepsy
85;;;;;;False;;;;;;;;;;625.6346442699432;DiscoX;0;4;Epilepsy
86;;;;;;False;;;;;;;;;;1895.9387047290802;DiscoX;0;4;Epilepsy
88;144.0;0.23300970873786409;169.9600000000001;16.965453132763656;0.4393203556537628;True;;0.7941444461991938;0.30159907619486503;0.16767661762106856;0.09662369717128094;0.0;0.0;2.0;0.006472491909385114;331.11571621894836;DiscoX;0;4;Epilepsy
90;283.0;0.45792880258899676;225.5440000000001;22.10110151101072;0.4923383891582489;True;;1.0485417916964659;0.5530797164960907;0.45175476943787146;0.0;0.0;0.0;84.0;0.27184466019417475;454.59071803092957;DiscoX;0;4;Epilepsy
91;126.0;0.20388349514563106;126.60560000000007;13.707092540725043;0.35219597816467285;True;;0.8781083385006913;0.44577085829300944;0.2595145809117372;0.046233607417128675;0.0;0.0;3.0;0.009708737864077669;203.20845365524292;DiscoX;0;4;Epilepsy
92;201.0;0.32524271844660196;188.13600000000005;17.163440885789775;0.4711388349533081;True;;1.1142197002718566;0.6749216188426472;0.39504992087867774;0.1037553513826115;0.0;0.0;19.0;0.061488673139158574;327.9456868171692;DiscoX;0;4;Epilepsy
93;289.0;0.46763754045307443;324.44000000000017;26.524034685545118;0.4983426630496979;True;;0.8917766771810477;0.3030360430536794;0.1028699318383064;0.0;0.0;0.0;81.0;0.2621359223300971;388.14153957366943;DiscoX;0;4;Epilepsy
94;185.0;0.2993527508090615;149.48480000000004;16.1987944637865;0.4335309863090515;True;;1.0195649333065842;0.6841734434940817;0.384228258466044;0.0;0.0;0.0;49.0;0.15857605177993528;976.5790543556213;DiscoX;0;4;Epilepsy
96;142.0;0.2297734627831715;146.29220000000007;14.618559530952432;0.49679699540138245;True;;1.0199919952979861;0.6983248328611057;0.3460353068473778;0.32519548713351154;0.0;0.0;4.0;0.012944983818770227;210.61497831344604;DiscoX;0;4;Epilepsy
98;264.0;0.42718446601941745;167.37300000000008;14.865556397256046;0.4738491177558899;True;;0.7367292038647201;0.43029847359115836;0.10680859256007874;0.0;0.0;0.0;69.0;0.22330097087378642;2053.083395957947;DiscoX;0;4;Epilepsy
99;137.0;0.22168284789644013;192.77580000000006;21.014310264198546;0.44068995118141174;True;;0.817332496050332;0.3929136247331418;0.3296637107205009;0.08576797771255229;0.0;0.0;5.0;0.016181229773462782;919.9931933879852;DiscoX;0;4;Epilepsy
101;165.0;0.2669902912621359;153.42880000000008;16.379500534509596;0.4689793884754181;True;;0.925422809094873;0.5646788628875063;0.4451308788253727;0.06444704686706293;0.0;0.0;35.0;0.11326860841423948;1175.4401352405548;DiscoX;0;4;Epilepsy
102;;;;;;False;;;;;;;;;;2074.961680173874;DiscoX;0;4;Epilepsy
103;;;;;;False;;;;;;;;;;2696.5334281921387;DiscoX;0;4;Epilepsy
104;117.0;0.18932038834951456;108.27090000000005;11.781256965621289;0.38847479224205017;True;;0.7537923710113649;0.3694094592048983;0.16279536109963363;0.15111578646859303;0.023838162637176585;0.0017347201035923243;4.0;0.012944983818770227;206.7284653186798;DiscoX;0;4;Epilepsy
105;241.0;0.38996763754045305;166.0192;13.559323310549095;0.503554105758667;True;;0.7760962835724521;0.3761588792483427;0.18889964778329357;0.009310609434659223;0.0;0.0;17.0;0.05501618122977346;621.0950274467468;DiscoX;0;4;Epilepsy
106;165.0;0.2669902912621359;181.43320000000006;16.93827438200244;0.4276014268398285;True;;0.8082470505677773;0.5566794534613458;0.21581899448576938;0.0;0.0;0.0;3.0;0.009708737864077669;311.00132513046265;DiscoX;0;4;Epilepsy
107;155.0;0.25080906148867316;168.33240000000006;16.24234140264267;0.43366357684135437;True;;0.8124298558674566;0.5552938674761285;0.20517874023531835;0.0;0.0;0.0;4.0;0.012944983818770227;352.9256510734558;DiscoX;0;4;Epilepsy
108;;;;;;False;;;;;;;;;;1875.6883535385132;DiscoX;0;4;Epilepsy
110;178.0;0.28802588996763756;80.40960000000001;8.493718714438337;0.507196843624115;True;;0.4660258033083637;0.3323851962609258;0.02495022598962831;0.0;0.0;0.0;52.0;0.16828478964401294;214.58898067474365;DiscoX;0;4;Epilepsy
112;;;;;;False;;;;;;;;;;1742.920986175537;DiscoX;0;4;Epilepsy
113;;;;;;False;;;;;;;;;;1101.5898132324219;DiscoX;0;4;Epilepsy
114;;;;;;False;;;;;;;;;;945.5699751377106;DiscoX;0;4;Epilepsy
116;;;;;;False;;;;;;;;;;1109.0131258964539;DiscoX;0;4;Epilepsy
117;177.0;0.28640776699029125;123.49960000000006;11.182353974007446;0.5066995620727539;True;;0.6302005862527433;0.1343444937829952;0.02010295911023395;0.0;0.0;0.010140711100129707;3.0;0.009708737864077669;799.1357462406158;DiscoX;0;4;Epilepsy
118;165.0;0.2669902912621359;173.00920000000008;16.344543299829464;0.5090948343276978;True;;0.48096142115291224;0.5749240751771115;0.08020620351655225;0.004023164178076966;0.026820032356210444;0.0;3.0;0.009708737864077669;1287.8380298614502;DiscoX;0;4;Epilepsy
120;173.0;0.27993527508090615;135.66000000000005;11.663044199521844;0.4558413624763489;True;;0.3492725850351248;0.3218795380493358;0.03786957959948337;0.0;0.0;0.0;3.0;0.009708737864077669;269.2020306587219;DiscoX;0;4;Epilepsy
122;164.0;0.26537216828478966;141.24000000000007;12.63760262075051;0.5008268356323242;True;;0.3805615222424293;0.3135695773167156;0.038081290859664024;0.0;0.0;0.0;1.0;0.003236245954692557;274.4520230293274;DiscoX;0;4;Epilepsy
124;;;;;;False;;;;;;;;;;1075.0191760063171;DiscoX;0;4;Epilepsy
125;92.0;0.1488673139158576;96.73580000000004;11.153360151990077;0.5176309943199158;True;;0.7067593418632381;0.21806731923027578;0.06688316683046161;0.1264810676946727;0.17167463882402323;0.04691409379055682;4.0;0.012944983818770227;168.99779081344604;DiscoX;0;4;Epilepsy
126;83.0;0.1343042071197411;49.717800000000004;6.402817595402825;0.5163530111312866;True;;0.5841987432500706;0.2951571764647401;0.02668102775575241;0.007168385663642307;0.0;0.0;4.0;0.012944983818770227;106.6307864189148;DiscoX;0;4;Epilepsy
127;125.0;0.2022653721682848;78.3594;7.910476569714369;0.5149743556976318;True;;0.47784840023964725;0.33643629575024697;0.026036249549134895;0.03787765733659115;0.0;0.0;5.0;0.016181229773462782;253.58507370948792;DiscoX;0;4;Epilepsy
128;206.0;0.3333333333333333;166.81920000000008;14.834951162710318;0.5222307443618774;True;;0.5678620576773775;0.4568783359156813;0.05803265297214367;0.0;0.0;0.0;31.0;0.10032362459546926;513.3478856086731;DiscoX;0;4;Epilepsy
132;164.0;0.26537216828478966;233.75940000000008;21.786140608194017;0.5424312949180603;True;;0.7367970609370873;0.5168041617317832;0.32681824094845874;0.24892174490574542;0.20756125647278917;0.293832164906599;2.0;0.006472491909385114;617.1203606128693;DiscoX;0;4;Epilepsy
134;90.0;0.14563106796116504;84.18640000000002;10.166020688548695;0.506097137928009;True;;0.6996432308630949;0.27677673729971314;0.030490911006437214;0.0;0.08734005437397258;0.012908792515284005;2.0;0.006472491909385114;253.19063210487366;DiscoX;0;4;Epilepsy
135;147.0;0.23786407766990292;169.14000000000007;15.75211096964468;0.5015314221382141;True;;0.6906327252765176;0.5799917145544885;0.33701127967032857;0.19729569124745883;0.2664940137209458;0.29283143852552995;4.0;0.012944983818770227;868.6493051052094;DiscoX;0;4;Epilepsy
136;175.0;0.28317152103559873;144.01100000000008;12.317196578767433;0.46940168738365173;True;;0.3884782489189997;0.22914855835551845;0.032932604966484855;0.0;0.0;0.0;2.0;0.006472491909385114;289.63268756866455;DiscoX;0;4;Epilepsy
137;;;;;;False;;;;;;;;;;1285.6444511413574;DiscoX;0;4;Epilepsy
